TUNETUL FC,,A ISPAS,22,,1,,Etapa a 13-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,22,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,0,,PORTARI,,,,,,,Paris SG,PSG,,1,,,,,,,,
1,MAN CITY,MC,0,,Sa,,Chalobah,CHE,0,,,1,PARIS SG,PSG,1,DA,Sa,,Gvardiol,MC,0,,,,,,,,,
2,FC KOLN,KOL,1,,Sa,,Bastoni,INT,0,,,2,LIVERPOOL,LIV,1,,Sa,,N Mendes,PSG,2,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Kristensen,FRA,0,,,,,,,,,
3,Bastoni,INT,0,INT-LEC,R,,F Nmecha,DOR,0,,,3,Gvardiol,MC,0,,Sa,,Akliouche,MON,1,,,,,,,,,
4,Timber,ARS,0,,Sa,,Tavernier,BOU,0,,,4,Kristensen,FRA,0,,Sa,,Reijnders,MC,1,,,,,,,,,
5,Gabriel,ARS,0,,Sa,,Uche,CP,0,,,5,Schlotterbeck,AUG,0,,Sa,,Milner,BRI,0,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,Caicedo,CHE,0,,,6,Dier,MON,0,NU,Du,,A Santos,CHE,0,,,,,,,,,
7,Cash,AV,0,,Du,,Kramaric,HOF,0,,,7,N Mendes,PSG,2,Da,Sa,,Gyokeres,ARS,1,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,0,,,MIJLOCASI,,,,,#N/A,,A Perez,VIL,0,,,,,,,,,
8,Anguissa,NAP,0,NAP-PAR,R,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,1,,Sa,,Barcola,PSG,0,,,,,,,,,
9,F Nmecha,DOR,0,,Vi,PUNCTE,21,scor,0,0,,9,Akliouche,MON,1,DA,Du,PUNCTE,19,,5,1,,,,,,,,
10,Uche,CP,0,,Sa,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
