TUNETUL FC,,A ISPAS,25,,,,Etapa a 15-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,24,,1,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,2,,PORTARI,,,,,,,LIVERPOOL,LIV,,1,,,,,,,,
1,MAN CITY,MC,2,,Sa,,Chalobah,CHE,0,,,1,PARIS SG,PSG,0,,Vi,,Dier,MON,0,,,,,,,,,
2,FC KOLN,KOL,1,,Sa,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,1,,Sa,,N Mendes,PSG,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Kristensen,FRA,0,,,,,,,,,
3,Bastoni,INT,0,,Sa,,F Nmecha,DOR,0,,,3,Gvardiol,MC,0,,Sa,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,0,,Sa,,Tavernier,BOU,1,,,4,Kristensen,FRA,0,,Vi,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,Sa,,Fermin L,BAR,0,,,5,Schlotterbeck,AUG,0,,Du,,A Santos,CHE,0,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,Caicedo,CHE,0,,,6,Dier,MON,0,,Vi,,Honorat,MNG,0,,,,,,,,,
7,Cash,AV,0,,Du,,Kramaric,HOF,0,,,7,N Mendes,PSG,0,,Vi,,Gyokeres,ARS,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,0,,,MIJLOCASI,,,,,#N/A,,A Perez,VIL,0,,,,,,,,,
8,Anguissa,NAP,0,,Sa,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,0,,Sa,,Barcola,PSG,1,,,,,,,,,
9,F Nmecha,DOR,0,,Sa,PUNCTE,25,scor,1,2,,9,Akliouche,MON,0,,Vi,PUNCTE,23,,1,1,,,,,,,,
10,Uche,CP,0,,Sa,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,Du,,,,,,,11,Jobe Bellingham,DOR,0,,Sa,,,,,,,,,,,,,
12,D Rice,ARS,0,,Sa,,,,,,,12,Honorat,MNG,0,,Sa,,,,,,,,,,,,,
13,Caicedo,CHE,0,,Sa,,,,,,,13,H Traore,OM,1,,Sa,,,,,,,,,,,,,
14,Tavernier,BOU,1,,Lu,,,,,,,14,Milner,BRI,0,,Lu,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J David,JUV,0,,Sa,,,,,,,15,Gyokeres,ARS,0,,Sa,,,,,,,,,,,,,
16,Saka,ARS,0,,Sa,,,,,,,16,Burkardt,FRA,0,,Vi,,,,,,,,,,,,,
17,Kramaric,HOF,0,,Sa,,,,,,,17,Barcola,PSG,1,,Vi,,,,,,,,,,,,,
18,I Sarr,CP,0,,Sa,,,,,,,18,A Perez,VIL,0,,Sa,,,,,,,,,,,,,
19,Ndiaye,EVE,0,,Du,,,,,,,19,Romulo,LPZ,1,,Sa,,,,,,,,,,,,,
20,Kvaratschelia,PSG,0,,Vi,,,,,,,20,Dovbyk,ROM,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,29,,,,Etapa a 15-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,32,,3,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BAYERN M,BM,,1,,PORTARI,,,,,,,JUVENTUS,JUV,,1,,,,,,,,
1,BAYERN M,BM,1,,Sa,,Del Prato,PAR,0,,,1,JUVENTUS,JUV,1,,Sa,,Dimarco,INT,0,,,,,,,,,
2,GETAFE,GET,1,,Du,,Calafiori,ARS,0,,,2,BOLOGNA,BOL,2,,Du,,Lacroix,CRY,0,,,,,,,,,
FUNDASI,,,,,#N/A,,F Doucoure,LH,0,,,FUNDASI,,,,,#N/A,,Koch,FRA,0,,,,,,,,,
3,F Doucoure,LH,0,,Du,,Olmo,BAR,0,,,3,Dimarco,INT,0,,Sa,,Bellingham,RM,0,,,,,,,,,
4,Yoro,MU,0,,Sa,,Zaccagni,LAZ,0,,,4,Zortea,BOL,0,,Du,,Palazon,VLC,0,,,,,,,,,
5,Calafiori,ARS,0,,Sa,,Sulc,LYO,1,,,5,Koch,FRA,0,,Vi,,Eze,ARS,0,,,,,,,,,
6,Bertola,UDI,0,,Sa,,Komur,AUG,0,,,6,Lacroix,CP,0,,Sa,,Kebbal,PRS,1,,,,,,,,,
7,Del Prato,PAR,0,,Du,,Evanilson,BOU,0,,,7,Di Lorenzo,NAP,0,,Sa,,H Duro,VAL,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,J Pedro,CHE,1,,,MIJLOCASI,,,,,#N/A,,Greenwood,OM,1,,,,,,,,,
8,Olmo,BAR,0,,Du,,Vinicius Jr,RM,0,,,8,Eze,ARS,0,,Sa,,Woltemade,NEW,0,,,,,,,,,
