BRITANICII,,D MOLAN,53,,3,,Etapa a 24-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,40,,1,,Etapa a 24-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,ARSENAL,ARS,,2,,PORTARI,,,,,,,LIVERPOOL,LIV,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,2,DA,Mi,,Gosens,FIO,0,,,1,LIVERPOOL,LIV,2,,Sa,,Munoz,CP,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,1,,Sa,,Raum,LPZ,0,,,2,SOCIEDAD,SOC,3,,Vi,,E Garcia,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Krejci,WLV,0,,,FUNDASI,,,,,#N/A,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,Du,,Flemming,BUR,1,,,3,Munoz,CP,R,MC-CP,R,,Buendia,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Raum,LPZ,0,,Vi,,Wirtz,LIV,0,,,4,Abdi,NIC,0,,Sa,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,Sa,,Soler,SOC,0,,,5,E Garcia,BAR,0,,Du,,Pulisic,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,DA,Mi,,Tillman,BL,1,,,6,Clauss,NIC,0,,Sa,,Rabiot,MIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,Du,,Woltemade,NEW,0,,,7,J Tah,BM,0,,Sa,,Watkins,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Raphinia,BAR,0,,,MIJLOCASI,,,,,#N/A,,B Iglesias,CEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,Sa,,Welbeck,BRI,2,,,8,Pulisic,MIL,0,,Sa,,Kalimuendo,FRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,1,,Sa,PUNCTE,50,scor,4,2,,9,Mitoma,BRI,0,,Sa,PUNCTE,39,scor,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,Du,,formula,343,,,,10,Schade,BRN,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,,Sa,,,,,,,11,Kudus,TOT,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,0,,Sa,,,,,,,12,Rabiot,MIL,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,0,,Vi,,,,,,,13,Musiala,BM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
