TUNETUL FC,,A ISPAS,40,,3,,Etapa a 24-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,46,,3,,Etapa a 24-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,R,,PORTARI,,,,,,,PARIS SG,PSG,,0,,,,,,,,
1,MAN CITY,MC,R,MC-CP,R,,Chalobah,CHE,0,,,1,PARIS SG,PSG,0,,Sa,,N Mendes,PSG,2,,,,,,,,,
2,FC KOLN,KOL,3,,Sa,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,2,,Sa,,Schlotterbeck,AUG,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Freeman,VIL,0,,,,,,,,,
3,Bastoni,INT,0,,Du,,D Rice,ARS,0,,,3,Freeman,VIL,0,,Vi,,Akliouche,MON,1,,,,,,,,,
4,Timber,ARS,0,DA,Mi,,Anguissa,NAP,0,,,4,Kristensen,FRA,0,,Du,,Reijnders,MC,R,,,,,,,,,
5,Gabriel,ARS,0,DA,Mi,,Fermin L,BAR,0,,,5,Schlotterbeck,AUG,0,,Du,,El Mala,KOL,1,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,Caicedo,CHE,0,,,6,Dier,MON,0,,Du,,Honorat,MNG,0,,,,,,,,,
7,Cash,AV,0,,Du,,I Sarr,CP,R,,,7,N Mendes,PSG,2,,Sa,,Romulo,LPZ,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,1,,,MIJLOCASI,,,,,#N/A,,Gyokeres,ARS,0,,,,,,,,,
8,Anguissa,NAP,0,,Vi,,Trossard,ARS,0,,,8,Reijnders,MC,R,MC-CP,R,,Barcola,PSG,0,,,,,,,,,
9,F Nmecha,DOR,0,,Sa,PUNCTE,37,scor,1,0,,9,Akliouche,MON,1,,Du,PUNCTE,43,,4,0,,,,,,,,
10,Uche,CP,R,,R,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
