TUNETUL FC,,A ISPAS,6,,3,,Etapa a 4-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,7,,1,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,MAN C,MC,,0,,PORTARI,,,,,,,LIVERPOOL,LIV,,2
1,MAN C,MC,0,,,,Bastoni,INT,0,,,1,PARIS SG,PSG,1,,,,Gvardiol,MC,0,
2,FC KOLN,KOL,0,,,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,2,,,,Dier,MON,0,
FUNDASI,,,,,,,Timber,ARS,0,,,FUNDASI,,,,,,,N Mendes,PSG,2,
3,Bastoni,INT,0,,,,Fermin L,BAR,0,,,3,Gvardiol,MC,0,,,,Akliouche,MON,0,
4,Timber,ARS,0,,,,Tavernier,BOU,0,,,4,Kristensen,FRA,0,,,,Reijnders,MC,0,
5,Gabriel,ARS,0,,,,D Rice,ARS,1,,,5,Schlotterbeck,AUG,0,,,,Milner,BRI,0,
6,Chalobah,CHE,0,,,,Caicedo,CHE,1,,,6,Dier,MON,0,,,,Jobe Bellingham,DOR,0,
7,Cash,AV,0,,,,J David,JUV,0,,,7,N Mendes,PSG,2,,,,Burkardt,FRA,0,
MIJLOCASI,,,,,,,I Sarr,CP,0,,,MIJLOCASI,,,,,,,Barcola,PSG,0,
8,Anguissa,NAP,0,,,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,0,,,,Romulo,LPZ,0,
9,F Nmecha,DOR,0,,,PUNCTE,3,scor,2,0,,9,Akliouche,MON,0,,,PUNCTE,6,,2,2
10,Uche,CP,0,,,,formula,343,,,,10,A Santos,CHE,0,,,,formula,343,,
11,Fermin L,BAR,0,,,,,,,,,11,Jobe Bellingham,DOR,0,,,,,,,
12,D Rice,ARS,1,,,,,,,,,12,Honorat,MNG,0,,,,,,,
13,Caicedo,CHE,1,,,,,,,,,13,H Traore,OM,0,,,,,,,
14,Tavernier,BOU,0,,,,,,,,,14,Milner,BRI,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,J David,JUV,0,,,,,,,,,15,Gyokeres,ARS,0,,,,,,,
16,Saka,ARS,1,,,,,,,,,16,Burkardt,FRA,0,,,,,,,
17,Kramaric,HOF,0,,,,,,,,,17,Barcola,PSG,0,,,,,,,
18,I Sarr,CP,0,,,,,,,,,18,A Perez,VIL,0,,,,,,,
19,Ndiaye,EVE,1,,,,,,,,,19,Romulo,LPZ,0,,,,,,,
20,Kvaratschelia,PSG,0,,,,,,,,,20,Dovbyk,ROM,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,8,,3,,Etapa a 4-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,7,,3,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,BAYERN M,BM,,0,,PORTARI,,,,,,,BOLOGNA,BOL,,0
1,BAYERN M,BM,0,,,,Del Prato,PAR,0,,,1,JUVENTUS,JUV,0,,,,Dimarco,INT,2,
