BRITANICII,,D MOLAN,19,,3,,Etapa a 7-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,16,,3,,Etapa a 7-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,Arsenal,ARS,,0,,PORTARI,,,,,,,LIVERPOOL,LIV,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,0,,Sa,,Gosens,FIO,0,,,1,LIVERPOOL,LIV,0,,Sa,,Munoz,CP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,1,,Vi,,Kehrer,MON,0,,,2,SOCIEDAD,SOC,2,,Sa,,E Garcia,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Krejci,WLV,0,,,FUNDASI,,,,,#N/A,,J Tah,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,Du,,Bogle,LEE,0,,,3,Munoz,CP,0,,Sa,,Mitoma,BRI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Struijk,LEE,0,,Sa,,Flemming,BUR,0,,,4,Abdi,NIC,0,,Sa,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,Sa,,A Toure,LH,0,,,5,E Garcia,BAR,0,,Du,,Murphy,NEW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,,Sa,,Stage,WB,1,,,6,Clauss,NIC,0,,Sa,,Kudus,TOT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,Sa,,Wirtz,LIV,0,,,7,J Tah,BM,0,,Sa,,Watkins,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Woltemade,NEW,0,,,MIJLOCASI,,,,,#N/A,,Salah,LIV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,Sa,,J David,JUV,0,,,8,Pulisic,MIL,0,,Du,,Beier,DOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,0,,Sa,PUNCTE,16,scor,1,0,,9,Mitoma,BRI,0,,Sa,PUNCTE,13,scor,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,Du,,formula,442,,,,10,Schade,BRN,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,,Sa,,,,,,,11,Kudus,TOT,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,1,,Sa,,,,,,,12,Rabiot,MIL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,0,,Sa,,,,,,,13,Musiala,BM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Flemming,BUR,0,,Sa,,,,,,,14,Murphy,NEW,1,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Raphinia,BAR,0,,Du,,,,,,,15,Salah,LIV,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J David,JUV,0,,Sa,,,,,,,16,Watkins,AV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Woltemade,NEW,0,,Du,,,,,,,17,Biereth,MON,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gimenez,MIL,0,,Du,,,,,,,18,Kalimuendo,NOT,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Moffi,NIC,0,,Sa,,,,,,,19,Beier,DOR,0,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Delap,CHE,0,,Sa,,,,,,,20,Immobile,BOL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOBOZ,,A COSTEIU,9,,3,,Etapa a 7-a,echipa,puncte,,,THE CRYSTAL SHIP,,C ROSU,17,,1,,Etapa a 7-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,PARIS SG,PSG,,0,,PORTARI,,,,,,,ATLETICO M,AM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PARIS SG,PSG,0,,Sa,,A Paredes,BIL,0,,,1,ATLETICO M,AM,0,,Sa,,Zortea,BOL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FIORENTINA,FIO,1,,Du,,Schlotterbeck,AUG,0,,,2,BETIS,BET,0,,Du,,Dodo,FIO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Cubarsi,BAR,0,,,FUNDASI,,,,,#N/A,,C Augusto,INT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Schlotterbeck,AUG,0,,Vi,,Reijnders,MC,0,,,3,Angelino,ROM,0,,Du,,Nebel,MAI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A Paredes,BIL,0,,Sa,,O'Rilley,OM,0,,,4,Dodo,FIO,0,,Du,,Lo Celso,BET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ait-Nouri,MC,0,,Du,,Gibbs-White,NOT,1,,,5,Zortea,BOL,0,,Du,,Brandt,DOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cubarsi,BAR,0,,Du,,Kimmich,BM,0,,,6,C Augusto,INT,0,,Du,,B Silva,MC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rudiger,RM,0,,Sa,,Yamal,BAR,1,,,7,Carvajal,RM,0,,Sa,,Lewandowski,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
