BRITANICII,,D MOLAN,7,,1,,Etapa a 3-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,7,,1,,Etapa a 3-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,GETAFE,GET,,1,,PORTARI,,,,,,,LIVERPOOL,LIV,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,1,,,,Gosens,FIO,0,,,1,LIVERPOOL,LIV,2,,,,Munoz,CP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,1,,,,Struijk,LEE,0,,,2,SOCIEDAD,SOC,2,,,,Abdi,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,,,Krejci,WLV,0,,,FUNDASI,,,,,,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,,,Wirtz,LIV,0,,,3,Munoz,CP,0,,,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Struijk,LEE,0,,,,Tillman,BL,0,,,4,Abdi,NIC,0,,,,Kudus,TOT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,,,A Toure,LH,0,,,5,E Garcia,BAR,0,,,,Pulisic,MIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,,,,Stage,WB,0,,,6,Clauss,NIC,0,,,,Mitoma,BRI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,,,Raphinia,BAR,0,,,7,J Tah,BM,2,,,,Watkins,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,,,Woltemade,NEW,1,,,MIJLOCASI,,,,,,,Salah,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,,,Moffi,NIC,0,,,8,Pulisic,MIL,1,,,,Biereth,MON,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,0,,,PUNCTE,6,scor,1,1,,9,Mitoma,BRI,0,,,PUNCTE,6,scor,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,,,formula,343,,,,10,Schade,BRN,0,,,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,,,,,,,,,11,Kudus,TOT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,0,,,,,,,,,12,Rabiot,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,0,,,,,,,,,13,Musiala,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fleming,BUR,0,,,,,,,,,14,Murphy,NEW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Raphinia,BAR,0,,,,,,,,,15,Salah,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J David,JUV,0,,,,,,,,,16,Watkins,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Woltemade,NEW,1,,,,,,,,,17,Biereth,MON,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gimenez,MIL,0,,,,,,,,,18,Kalimuendo,NOT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Moffi,NIC,0,,,,,,,,,19,Beier,DOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Delap,CHE,0,,,,,,,,,20,Immobile,BOL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOBOZ,,A COSTEIU,2,,1,,Etapa a 3-a,echipa,puncte,,,THE CRYSTAL SHIP,,C ROSU,9,,3,,Etapa a 3-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,FIORENTINA,FIO,,0,,PORTARI,,,,,,,BETIS,BET,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PARIS SG,PSG,0,,,,A Paredes,BIL,0,,,1,ATLETICO M,AM,2,,,,Angelino,ROM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FIORENTINA,FIO,0,,,,Schlotterbeck,AUG,0,,,2,BETIS,BET,0,,,,Dodo,FIO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,,,Cubarsi,BAR,0,,,FUNDASI,,,,,,,C Augusto,INT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Schlotterbeck,AUG,0,,,,Reijnders,MC,0,,,3,Angelino,ROM,0,,,,Nebel,MAI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A Paredes,BIL,0,,,,O'Rilley,OM,0,,,4,Dodo,FIO,0,,,,Lo Celso,BET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ait-Nouri,MC,0,,,,Gibbs-White,NOT,0,,,5,Zortea,BOL,0,,,,Brandt,DOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cubarsi,BAR,0,,,,Kimmich,BM,0,,,6,C Augusto,INT,0,,,,Pedri,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
